timestamp,desert_temp_c,desert_cloud_cover,desert_wind_speed_ms,desert_wind_direction_deg,desert_humidity,desert_pressure,wind_speed_ms,wind_direction_deg,wind_gust_ms,temperature_c,location,data_source,temp_gradient,cloud_effect,thermal_potential,thermal_wind_estimate
2025-09-06 00:00:00,27.2,6,5.2,78,50,879.4,13.6,292,11.2,24.5,Point_Loma,forecast,2.6999999999999993,94,2.5379999999999994,0.0
2025-09-06 01:00:00,27.2,38,3.9,112,51,879.7,12.6,297,13.3,23.2,Point_Loma,forecast,4.0,62,2.48,0.0
2025-09-06 02:00:00,26.5,28,3.3,167,37,879.9,10.9,304,11.9,22.2,Point_Loma,forecast,4.300000000000001,72,3.096,0.0
2025-09-06 03:00:00,25.5,2,3.6,225,40,880.3,10.2,302,8.6,21.8,Point_Loma,forecast,3.6999999999999993,98,3.625999999999999,0.0
2025-09-06 04:00:00,24.5,2,4.8,257,44,880.8,9.2,312,8.3,21.5,Point_Loma,forecast,3.0,98,2.94,0.0
2025-09-06 05:00:00,23.7,0,4.3,275,49,880.8,9.7,309,5.4,21.4,Point_Loma,forecast,2.3000000000000007,100,2.3000000000000007,0.0
2025-09-06 06:00:00,23.0,0,1.9,292,52,881.1,8.7,308,5.4,21.0,Point_Loma,forecast,2.0,100,2.0,0.0
2025-09-06 07:00:00,22.5,0,1.5,256,51,881.0,6.8,302,2.2,20.8,Point_Loma,forecast,1.6999999999999993,100,1.6999999999999995,0.0
2025-09-06 08:00:00,22.0,0,1.3,214,55,880.8,6.8,288,2.9,20.7,Point_Loma,forecast,1.3000000000000007,100,1.3000000000000005,0.0
2025-09-06 09:00:00,21.6,0,0.5,135,52,880.7,8.1,291,6.8,20.2,Point_Loma,forecast,1.4000000000000021,100,1.4000000000000024,0.0
2025-09-06 10:00:00,21.3,0,0.8,153,45,880.5,8.7,294,4.3,19.8,Point_Loma,forecast,1.5,100,1.5,0.0
2025-09-06 11:00:00,21.0,50,0.4,90,47,880.6,8.0,306,4.0,19.6,Point_Loma,forecast,1.3999999999999986,50,0.6999999999999993,0.0
2025-09-06 12:00:00,20.7,1,2.4,63,48,880.8,7.1,319,6.1,19.7,Point_Loma,forecast,1.0,99,0.99,0.0
2025-09-06 13:00:00,20.5,0,4.2,59,51,881.4,6.6,319,5.4,19.8,Point_Loma,forecast,0.6999999999999993,100,0.6999999999999993,0.0
2025-09-06 14:00:00,21.4,0,5.9,52,51,882.3,7.9,317,5.0,19.9,Point_Loma,forecast,1.5,100,1.5,0.0
2025-09-06 15:00:00,22.9,0,6.8,58,80,883.3,8.4,320,4.7,20.8,Point_Loma,forecast,2.099999999999998,100,2.099999999999998,0.0
2025-09-06 16:00:00,24.2,1,7.2,63,70,883.7,8.7,312,5.4,22.4,Point_Loma,forecast,1.8000000000000007,99,1.7820000000000007,0.0
2025-09-06 17:00:00,25.4,0,8.8,71,63,884.2,10.7,303,6.8,23.7,Point_Loma,forecast,1.6999999999999993,100,1.6999999999999995,0.0
2025-09-06 18:00:00,26.4,0,10.9,73,56,884.3,11.6,296,11.9,25.0,Point_Loma,forecast,1.3999999999999986,100,1.3999999999999986,0.0
2025-09-06 19:00:00,27.4,20,12.9,72,59,884.3,12.6,294,14.4,25.8,Point_Loma,forecast,1.5999999999999979,80,1.2799999999999983,0.0
2025-09-06 20:00:00,28.2,1,14.6,74,51,884.0,13.8,290,17.3,26.3,Point_Loma,forecast,1.8999999999999986,99,1.8809999999999985,0.0
2025-09-06 21:00:00,28.5,23,14.3,72,49,883.7,13.7,288,13.3,25.8,Point_Loma,forecast,2.6999999999999993,77,2.0789999999999993,0.0
2025-09-06 22:00:00,28.5,38,12.1,63,50,883.5,12.7,295,14.0,26.1,Point_Loma,forecast,2.3999999999999986,62,1.4879999999999989,0.0
2025-09-06 23:00:00,27.9,18,6.5,56,44,883.4,11.2,303,11.9,26.7,Point_Loma,forecast,1.1999999999999993,82,0.9839999999999995,0.0
2025-09-07 00:00:00,27.6,50,2.6,74,46,883.6,11.1,295,14.8,26.6,Point_Loma,forecast,1.0,50,0.5,0.0
2025-09-07 01:00:00,27.4,5,3.6,180,47,883.9,11.1,299,8.3,25.5,Point_Loma,forecast,1.8999999999999986,95,1.8049999999999986,0.0
2025-09-07 02:00:00,26.5,9,4.3,228,51,883.9,11.6,300,11.2,23.7,Point_Loma,forecast,2.8000000000000007,91,2.5480000000000005,0.0
2025-09-07 03:00:00,25.4,7,6.4,254,50,884.4,9.2,309,9.4,22.9,Point_Loma,forecast,2.5,93,2.325,0.0
2025-09-07 04:00:00,24.1,0,7.7,242,50,884.7,7.8,304,7.6,22.9,Point_Loma,forecast,1.2000000000000028,100,1.2000000000000028,0.0
2025-09-07 05:00:00,23.2,0,7.3,237,52,884.9,7.2,307,6.5,22.8,Point_Loma,forecast,0.3999999999999986,100,0.3999999999999986,0.0
2025-09-07 06:00:00,22.4,0,7.1,246,53,884.7,6.4,297,5.0,22.7,Point_Loma,forecast,-0.3000000000000007,100,-0.3000000000000007,0.0
2025-09-07 07:00:00,21.9,0,6.6,248,51,884.5,6.0,287,2.5,22.4,Point_Loma,forecast,-0.5,100,-0.5,0.0
2025-09-07 08:00:00,21.7,0,6.5,251,48,884.5,6.8,295,1.1,22.0,Point_Loma,forecast,-0.3000000000000007,100,-0.3000000000000007,0.0
2025-09-07 09:00:00,21.5,0,6.2,263,48,884.2,5.8,300,1.4,21.7,Point_Loma,forecast,-0.1999999999999993,100,-0.1999999999999993,0.0
2025-09-07 10:00:00,21.3,0,5.0,270,47,883.9,5.5,180,2.5,21.7,Point_Loma,forecast,-0.3999999999999986,100,-0.3999999999999986,0.0
2025-09-07 11:00:00,21.0,0,3.1,249,47,883.6,5.9,308,4.0,21.6,Point_Loma,forecast,-0.6000000000000014,100,-0.6000000000000014,0.0
2025-09-07 12:00:00,20.7,0,2.3,231,46,883.8,4.3,318,3.2,21.8,Point_Loma,forecast,-1.1000000000000014,100,-1.1000000000000014,0.0
2025-09-07 13:00:00,20.4,0,1.5,256,45,884.0,6.1,310,3.6,21.7,Point_Loma,forecast,-1.3000000000000007,100,-1.3000000000000005,0.0
2025-09-07 14:00:00,21.5,0,1.1,342,45,884.9,5.7,180,3.2,21.6,Point_Loma,forecast,-0.10000000000000142,100,-0.10000000000000142,0.0
2025-09-07 15:00:00,23.3,0,1.9,68,42,885.9,5.5,180,0.7,22.5,Point_Loma,forecast,0.8000000000000007,100,0.8000000000000007,0.0
2025-09-07 16:00:00,24.5,0,3.7,79,39,886.3,3.9,292,2.9,24.3,Point_Loma,forecast,0.1999999999999993,100,0.1999999999999993,0.0
2025-09-07 17:00:00,25.6,0,4.3,85,49,886.5,7.5,287,7.6,26.2,Point_Loma,forecast,-0.5999999999999979,100,-0.5999999999999979,0.0
2025-09-07 18:00:00,26.8,0,4.7,90,55,886.4,10.0,285,10.8,27.6,Point_Loma,forecast,-0.8000000000000007,100,-0.8000000000000007,0.0
2025-09-07 19:00:00,28.0,3,4.3,114,54,886.4,10.9,279,13.0,28.5,Point_Loma,forecast,-0.5,97,-0.485,0.0
2025-09-07 20:00:00,29.2,12,3.8,197,45,886.6,12.3,273,11.5,29.0,Point_Loma,forecast,0.1999999999999993,88,0.17599999999999938,0.0
2025-09-07 21:00:00,30.1,44,14.0,244,44,886.6,13.0,273,13.7,28.8,Point_Loma,forecast,1.3000000000000007,56,0.7280000000000004,0.0
2025-09-07 22:00:00,29.8,38,23.2,258,42,885.9,12.3,275,13.3,28.4,Point_Loma,forecast,1.4000000000000021,62,0.8680000000000012,0.0
2025-09-07 23:00:00,29.0,41,23.8,267,39,885.5,11.3,279,11.5,28.2,Point_Loma,forecast,0.8000000000000007,59,0.4720000000000005,0.0
